ward,alderperson,total,fatal,non_fatal,media_covered,coverage_pct
28,Jason Ervin,346,87,259,0,0.0
24,Monique Scott,251,45,206,1,0.4
16,Stephanie Coleman,210,32,178,0,0.0
6,William Hall,209,52,157,0,0.0
20,Jeanette Taylor,189,32,157,0,0.0
17,David Moore,184,44,140,1,0.5
27,Walter Burnett Jr.,181,41,140,2,1.1
8,Michelle Harris,180,40,140,1,0.6
9,Anthony Beale,164,39,125,1,0.6
7,Gregory Mitchell,155,38,117,0,0.0
37,Emma Mitts,149,43,106,0,0.0
21,Ronnie Mosley,133,39,94,0,0.0
10,Peter Chico,129,24,105,0,0.0
3,Pat Dowell,107,22,85,0,0.0
5,Desmon Yancy,99,21,78,0,0.0
29,Chris Taliaferro,88,20,68,0,0.0
15,Raymond Lopez,86,16,70,0,0.0
22,Michael Rodriguez,78,24,54,0,0.0
14,Jeylu Gutierrez,75,17,58,0,0.0
25,Byron Sigcho-Lopez,60,11,49,1,1.7
4,Lamont Robinson,57,10,47,0,0.0
26,Jessie Fuentes,47,6,41,0,0.0
42,Brendan Reilly,42,15,27,0,0.0
49,Maria Hadden,41,7,34,1,2.4
12,Julia Ramirez,39,9,30,1,2.6
36,Gilbert Villegas,38,4,34,0,0.0
18,Derrick Curtis,32,7,25,0,0.0
11,Nicole Lee,28,8,20,0,0.0
48,Leni Manaa-Hoppenworth,25,5,20,0,0.0
34,Bill Conway,22,6,16,0,0.0
50,Debra Silverstein,22,3,19,0,0.0
30,Ruth Cruz,21,4,17,0,0.0
31,Felix Cardona Jr.,20,3,17,0,0.0
33,Rossana Rodriguez Sanchez,19,2,17,0,0.0
40,Andre Vasquez,19,4,15,0,0.0
23,Silvana Tabares,16,6,10,0,0.0
44,Bennett Lawson,13,1,12,0,0.0
32,Scott Waguespack,12,3,9,0,0.0
46,Angela Clay,11,4,7,0,0.0
45,Jim Gardiner,10,1,9,0,0.0
1,Daniel La Spata,10,2,8,1,10.0
2,Brian Hopkins,10,0,10,0,0.0
35,Carlos Ramirez-Rosa,9,5,4,0,0.0
13,Marty Quinn,9,1,8,0,0.0
39,Samantha Nugent,8,3,5,0,0.0
19,Matt O'Shea,8,4,4,1,12.5
38,Nicholas Sposato,5,2,3,0,0.0
43,Timmy Knudsen,4,2,2,0,0.0
47,Matt Martin,3,1,2,0,0.0
41,Anthony Napolitano,3,2,1,0,0.0
